"ENTITY","YEAR","RECORDS LOST","ORGANISATION","METHOD OF LEAK","DATA SENSITIVITY","RECORDS LOST RANGE"
"San Francisco Public Utilities Commission ",2011,180000,"government","hacked","Email/Online info","[1025 - 400K)"
"Bethesda Game Studios",2011,2e+05,"gaming","hacked","Email/Online info","[1025 - 400K)"
"Restaurant Depot",2011,2e+05,"retail","hacked","Credit Card info","[1025 - 400K)"
"Epsilon",2011,3e+06,"web","hacked","Email/Online info","[2,5M - 14M)"
"Massachusetts Government",2011,210000,"government","hacked","Full bank account details","[1025 - 400K)"
"Southern California Medical-Legal Consultants",2011,3e+05,"healthcare","hacked","SSN/Personal Details","[1025 - 400K)"
"Honda Canada",2011,283000,"retail","hacked","SSN/Personal Details","[1025 - 400K)"
"Citigroup",2011,360083,"financial","hacked","Credit Card info","[1025 - 400K)"
"Stratfor",2011,935000,"military","hacked","Credit Card info","[400K - 2,5M)"
"Sony Pictures",2011,1e+06,"web","hacked","Email/Online info","[400K - 2,5M)"
"Oregon Department of Motor Vehicles",2011,1e+06,"government","hacked","SSN/Personal Details","[400K - 2,5M)"
"Sega",2011,1290755,"gaming","hacked","SSN/Personal Details","[400K - 2,5M)"
"Washington Post",2011,1270000,"media","hacked","SSN/Personal Details","[400K - 2,5M)"
"China Software Developer Network",2011,6e+06,"web","hacked","Email/Online info","[2,5M - 14M)"
"178.com",2011,1e+07,"web","hacked","Email/Online info","[2,5M - 14M)"
"Nexon Korea Corp",2011,13200000,"web","hacked","SSN/Personal Details","[2,5M - 14M)"
"Sony Online Entertainment",2011,24600000,"gaming","hacked","Credit Card info","[14M - 2200M]"
"Tianya",2011,2.8e+07,"web","hacked","Email/Online info","[14M - 2200M]"
"Steam",2011,3.5e+07,"web","hacked","Credit Card info","[14M - 2200M]"
"Sony PSN",2011,7.7e+07,"gaming","hacked","Email/Online info","[14M - 2200M]"
"Countrywide Financial Corp",2011,2500000,"financial","inside job","SSN/Personal Details","[2,5M - 14M)"
"Morgan Stanley Smith Barney",2011,34000,"financial","lost / stolen device or media","Credit Card info","[1025 - 400K)"
"Memorial Healthcare System",2011,102153,"healthcare","lost / stolen device or media","SSN/Personal Details","[1025 - 400K)"
"Spartanburg Regional Healthcare System",2011,4e+05,"healthcare","lost / stolen device or media","Email password/Health records","[400K - 2,5M)"
"Eisenhower Medical Center",2011,514330,"healthcare","lost / stolen device or media","Email password/Health records","[400K - 2,5M)"
"Nemours Foundation",2011,1055489,"healthcare","lost / stolen device or media","Email password/Health records","[400K - 2,5M)"
"Health Net - IBM",2011,1900000,"healthcare","lost / stolen device or media","Credit Card info","[400K - 2,5M)"
"Sutter Medical Foundation",2011,4243434,"healthcare","lost / stolen device or media","SSN/Personal Details","[2,5M - 14M)"
"Tricare",2011,4901432,"military","lost / stolen device or media","Email password/Health records","[2,5M - 14M)"
"Tricare",2011,4901432,"healthcare","lost / stolen device or media","Email password/Health records","[2,5M - 14M)"
"NHS",2011,8300000,"healthcare","lost / stolen device or media","Email password/Health records","[2,5M - 14M)"
"Accendo Insurance Co. ",2011,175350,"healthcare","poor security","SSN/Personal Details","[1025 - 400K)"
"Office of the Texas Attorney General",2012,6500000,"government","accidentally published","SSN/Personal Details","[2,5M - 14M)"
"Apple",2012,12367232,"tech","accidentally published","SSN/Personal Details","[2,5M - 14M)"
"Apple",2012,12367232,"retail","accidentally published","SSN/Personal Details","[2,5M - 14M)"
"Dropbox",2012,30000,"web","hacked","Email/Online info","[1025 - 400K)"
"Militarysingles.com",2012,163792,"web","hacked","Email/Online info","[1025 - 400K)"
"Militarysingles.com",2012,163792,"military","hacked","Email/Online info","[1025 - 400K)"
"Formspring",2012,420000,"web","hacked","Email/Online info","[400K - 2,5M)"
"Yahoo Voices",2012,450000,"tech","hacked","Email/Online info","[400K - 2,5M)"
"Yahoo Voices",2012,450000,"web","hacked","Email/Online info","[400K - 2,5M)"
"Medicaid",2012,780000,"government","hacked","SSN/Personal Details","[400K - 2,5M)"
"Medicaid",2012,780000,"healthcare","hacked","SSN/Personal Details","[400K - 2,5M)"
"Global Payments",2012,7e+06,"financial","hacked","Credit Card info","[2,5M - 14M)"
"Three Iranian banks",2012,3e+06,"financial","hacked","Full bank account details","[2,5M - 14M)"
"LinkedIn, eHarmony, Last.fm",2012,8e+06,"web","hacked","Email/Online info","[2,5M - 14M)"
"Gamigo",2012,8e+06,"web","hacked","Email/Online info","[2,5M - 14M)"
"KT Corp.",2012,8700000,"telecoms","hacked","SSN/Personal Details","[2,5M - 14M)"
"Greek government",2012,9e+06,"government","hacked","SSN/Personal Details","[2,5M - 14M)"
"Blizzard",2012,1.4e+07,"gaming","hacked","SSN/Personal Details","[14M - 2200M]"
"Zappos",2012,2.4e+07,"web","hacked","SSN/Personal Details","[14M - 2200M]"
"Last.fm",2012,43500000,"web","hacked","Email/Online info","[14M - 2200M]"
"Dropbox",2012,68700000,"web","hacked","Email/Online info","[14M - 2200M]"
"Massive American business hack",2012,1.6e+08,"financial","hacked","Full bank account details","[14M - 2200M]"
"LinkedIn",2012,1.17e+08,"web","hacked","Email/Online info","[14M - 2200M]"
"South Carolina State Dept. of Revenue",2012,3600000,"government","hacked",3,"[2,5M - 14M)"
"South Carolina Government",2012,6400000,"healthcare","inside job","Email password/Health records","[2,5M - 14M)"
"New York State Electric & Gas",2012,1800000,"energy","inside job","SSN/Personal Details","[400K - 2,5M)"
"Court Ventures",2012,2e+08,"financial","inside job","SSN/Personal Details","[14M - 2200M]"
"Emory Healthcare",2012,315000,"healthcare","lost / stolen device or media","Email password/Health records","[1025 - 400K)"
"California Department of Child Support Services",2012,8e+05,"government","lost / stolen device or media","SSN/Personal Details","[400K - 2,5M)"
"Disqus",2012,17500000,"web","hacked","Email password/Health records","[14M - 2200M]"
